id,source,sid,period,year,frequency,currency,total_revenue,gross_profit,net_income,basic_eps,norm_ebitda,net_profit,net_profit_growth,eps_growth,dividend_per_share,created_date,updated_date
143,aastocks,0015.HK,2018/03,2018,annual,HKD,,,,0.2394,,409000000.0,188.91,196.65,0.02,,
144,aastocks,0015.HK,2019/03,2019,annual,HKD,,,,0.4186,,705000000.0,72.28,74.85,0.02,,
145,aastocks,0015.HK,2020/03,2020,annual,HKD,,,,-0.1289,,-217000000.0,-,-,0.0,,
146,aastocks,0015.HK,2015/09,2015,quarterly,HKD,,,,0.1993,,348000000.0,635.21,635.42,0.0,,
147,aastocks,0015.HK,2016/09,2016,quarterly,HKD,,,,0.033,,58000000.0,-83.41,-83.44,0.0,,
148,aastocks,0015.HK,2017/09,2017,quarterly,HKD,,,,0.0285,,50000000.0,-14.21,-13.64,0.0,,
149,aastocks,0015.HK,2018/09,2018,quarterly,HKD,,,,0.0976,,164000000.0,231.67,242.46,0.0,,
150,aastocks,0015.HK,2019/09,2019,quarterly,HKD,,,,-0.0081,,-14000000.0,-,-,0.0,,
151,aastocks,0016.HK,2016/06,2016,annual,HKD,,,,11.31,,32666000000.0,5.10,1.98,3.85,,
152,aastocks,0016.HK,2017/06,2017,annual,HKD,,,,14.43,,41782000000.0,27.91,27.59,4.1,,
153,aastocks,0016.HK,2018/06,2018,annual,HKD,,,,17.24,,49951000000.0,19.55,19.47,4.65,,
154,aastocks,0016.HK,2019/06,2019,annual,HKD,,,,15.5,,44912000000.0,-10.09,-10.09,4.95,,
155,aastocks,0016.HK,2020/06,2020,annual,HKD,,,,8.12,,23521000000.0,-47.63,-47.61,4.95,,
156,aastocks,0016.HK,2016/12,2016,quarterly,HKD,,,,7.14,,20659000000.0,40.31,39.73,1.1,,
157,aastocks,0016.HK,2017/12,2017,quarterly,HKD,,,,11.4,,33031000000.0,59.89,59.66,1.2,,
158,aastocks,0016.HK,2018/12,2018,quarterly,HKD,,,,7.07,,20469000000.0,-38.03,-37.98,1.25,,
159,aastocks,0016.HK,2019/12,2019,quarterly,HKD,,,,5.32,,15419000000.0,-24.67,-24.75,1.25,,
160,aastocks,0016.HK,2020/12,2020,quarterly,HKD,,,,4.69,,13578000000.0,-11.94,-11.84,1.25,,
161,aastocks,0017.HK,2016/06,2016,annual,HKD,,,,0.95,,8666000000.0,-54.66,-56.22,0.44,,
162,aastocks,0017.HK,2017/06,2017,annual,HKD,,,,0.8,,7676000000.0,-11.43,-15.79,0.46,,
163,aastocks,0017.HK,2018/06,2018,annual,HKD,,,,2.34,,23338000000.0,204.05,192.50,0.48,,
164,aastocks,0017.HK,2019/06,2019,annual,HKD,,,,7.11,,18160000000.0,-22.19,203.85,0.51,,
165,aastocks,0017.HK,2020/06,2020,annual,HKD,,,,0.43,,1096000000.0,-93.96,-93.95,2.04,,
166,aastocks,0017.HK,2016/12,2016,quarterly,HKD,,,,0.46,,4336000000.0,31.38,24.32,0.13,,
167,aastocks,0017.HK,2017/12,2017,quarterly,HKD,,,,1.15,,11270000000.0,159.93,150.00,0.14,,
168,aastocks,0017.HK,2018/12,2018,quarterly,HKD,,,,1.11,,11284000000.0,0.13,-3.48,0.14,,
169,aastocks,0017.HK,2019/12,2019,quarterly,HKD,,,,0.4,,1017000000.0,-90.98,-63.96,0.56,,
170,aastocks,0017.HK,2020/12,2020,quarterly,HKD,,,,0.4,,1013000000.0,-0.42,300.00,0.56,,
171,aastocks,0018.HK,2016/03,2016,annual,HKD,,,,0.0228,,55000000.0,-10.16,-9.88,0.04,,
172,aastocks,0018.HK,2017/03,2017,annual,HKD,,,,0.0683,,164000000.0,200.10,199.56,0.16,,
173,aastocks,0018.HK,2018/03,2018,annual,HKD,,,,0.0659,,158000000.0,-3.51,-3.51,0.31,,
174,aastocks,0018.HK,2019/03,2019,annual,HKD,,,,0.0339,,81000000.0,-48.53,-48.56,0.03,,
175,aastocks,0018.HK,2020/03,2020,annual,HKD,,,,-0.0046,,-11000000.0,-,-,0.0,,
176,aastocks,0018.HK,2016/09,2016,quarterly,HKD,,,,0.0213,,51000000.0,-,-,0.1,,
177,aastocks,0018.HK,2017/09,2017,quarterly,HKD,,,,0.0283,,68000000.0,32.89,32.86,0.02,,
178,aastocks,0018.HK,2018/09,2018,quarterly,HKD,,,,0.0136,,33000000.0,-52.10,-51.94,0.01,,
179,aastocks,0018.HK,2019/09,2019,quarterly,HKD,,,,0.0152,,37000000.0,12.22,11.76,0.0,,
180,aastocks,0018.HK,2020/09,2020,quarterly,HKD,,,,0.0364,,87000000.0,139.16,139.47,0.02,,
181,aastocks,0019.HK,2015/12,2015,annual,HKD,,,,8.93,,13429000000.0,21.32,21.33,3.9,,
182,aastocks,0019.HK,2016/12,2016,annual,HKD,,,,6.41,,9644000000.0,-28.19,-28.22,2.1,,
183,aastocks,0019.HK,2017/12,2017,annual,HKD,,,,17.34,,26070000000.0,170.32,170.51,2.1,,
184,aastocks,0019.HK,2018/12,2018,annual,HKD,,,,15.74,,23629000000.0,-9.36,-9.23,3.0,,
185,aastocks,0019.HK,2019/12,2019,annual,HKD,,,,6.0,,9007000000.0,-61.88,-61.88,3.0,,
186,aastocks,0019.HK,2016/06,2016,quarterly,HKD,,,,3.36,,5061000000.0,-36.56,-36.60,1.0,,
187,aastocks,0019.HK,2017/06,2017,quarterly,HKD,,,,8.07,,12138000000.0,139.83,140.18,1.0,,
188,aastocks,0019.HK,2018/06,2018,quarterly,HKD,,,,8.99,,13501000000.0,11.23,11.40,1.2,,
189,aastocks,0019.HK,2019/06,2019,quarterly,HKD,,,,5.29,,7939000000.0,-41.20,-41.16,1.35,,
190,aastocks,0019.HK,2020/06,2020,quarterly,HKD,,,,-5.15,,-7737000000.0,-,-,0.7,,
191,aastocks,0021.HK,2015/12,2015,annual,HKD,,,,-0.0022,,-7000000.0,79.43,79.25,0.0,,
192,aastocks,0021.HK,2016/12,2016,annual,HKD,,,,-0.0011,,-3000000.0,51.77,50.00,0.0,,
193,aastocks,0021.HK,2017/12,2017,annual,HKD,,,,-0.0226,,-75000000.0,-2044.16,-1954.55,0.0,,
194,aastocks,0021.HK,2018/12,2018,annual,HKD,,,,0.0126,,42000000.0,-,-,0.0,,
195,aastocks,0021.HK,2019/12,2019,annual,HKD,,,,-0.001,,-4000000.0,-,-,0.0,,
