id,source,sid,period,year,frequency,currency,total_revenue,gross_profit,net_income,basic_eps,norm_ebitda,net_profit,net_profit_growth,eps_growth,dividend_per_share,created_date,updated_date,month
23750,aastocks,8659.HK,2019/12,2019,annual,HKD,0.0,0.0,0.0,0.051,0.0,23000000.0,-10.23,-10.13,0.0,0.0,0.0,12
23751,aastocks,8659.HK,2020/06,2020,quarterly,HKD,0.0,0.0,0.0,0.0241,0.0,11000000.0,0.0,0.0,0.0,0.0,0.0,06
23752,aastocks,8668.HK,2017/12,2017,annual,HKD,0.0,0.0,0.0,0.0,0.0,18000000.0,0.0,0.0,0.0,0.0,0.0,12
23753,aastocks,8668.HK,2018/12,2018,annual,HKD,0.0,0.0,0.0,0.0,0.0,16000000.0,-10.66,0.0,0.0,0.0,0.0,12
23754,aastocks,8668.HK,2019/12,2019,annual,HKD,0.0,0.0,0.0,-0.0011,0.0,-1000000.0,-1.0625,-inf,0.0,0.0,0.0,12
23755,aastocks,8668.HK,2020/06,2020,quarterly,HKD,0.0,0.0,0.0,-0.0105,0.0,-13000000.0,0.0,0.0,0.0,0.0,0.0,06
23756,aastocks,9010.HK,2016/12,2016,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0348,0.0,0.0,12
23757,aastocks,9010.HK,2017/12,2017,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1203,0.0,0.0,12
23758,aastocks,9010.HK,2018/12,2018,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,12
23759,aastocks,9010.HK,2019/12,2019,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,12
23760,aastocks,9010.HK,2018/06,2018,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06
23761,aastocks,9010.HK,2020/06,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06
23762,aastocks,9011.HK,2019/12,2019,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
23763,aastocks,9011.HK,2020/06,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06
23764,aastocks,9072.HK,2020/12,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
23765,aastocks,9074.HK,2016/12,2016,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,12
23766,aastocks,9074.HK,2017/12,2017,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,12
23767,aastocks,9074.HK,2018/12,2018,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,12
23768,aastocks,9074.HK,2019/12,2019,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,12
23769,aastocks,9074.HK,2018/06,2018,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06
23770,aastocks,9074.HK,2020/06,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06
23771,aastocks,9077.HK,2020/06,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,06
23772,aastocks,9078.HK,2020/06,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06
23773,aastocks,9081.HK,2017/03,2017,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03
23774,aastocks,9081.HK,2018/03,2018,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03
23775,aastocks,9081.HK,2019/03,2019,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03
23776,aastocks,9081.HK,2020/03,2020,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03
23777,aastocks,9081.HK,2017/09,2017,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09
23778,aastocks,9081.HK,2018/09,2018,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09
23779,aastocks,9081.HK,2019/09,2019,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09
23780,aastocks,9081.HK,2020/09,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09
23781,aastocks,9085.HK,2018/12,2018,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09699999999999999,0.0,0.0,12
23782,aastocks,9085.HK,2019/12,2019,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0912,0.0,0.0,12
23783,aastocks,9085.HK,2018/06,2018,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0293,0.0,0.0,06
23784,aastocks,9085.HK,2019/06,2019,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0243,0.0,0.0,06
23785,aastocks,9085.HK,2020/06,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0168,0.0,0.0,06
23786,aastocks,9086.HK,2019/06,2019,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06
23787,aastocks,9086.HK,2020/06,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06
23788,aastocks,9091.HK,2020/12,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
23789,aastocks,9096.HK,2019/12,2019,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
23790,aastocks,9096.HK,2019/06,2019,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06
23791,aastocks,9096.HK,2020/06,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06
23792,aastocks,9101.HK,2018/12,2018,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,12
23793,aastocks,9101.HK,2019/12,2019,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0706,0.0,0.0,12
23794,aastocks,9101.HK,2018/06,2018,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0459,0.0,0.0,06
23795,aastocks,9101.HK,2019/06,2019,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040999999999999995,0.0,0.0,06
23796,aastocks,9101.HK,2020/06,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0103,0.0,0.0,06
23797,aastocks,9115.HK,2016/12,2016,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
23798,aastocks,9115.HK,2017/12,2017,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4684,0.0,0.0,12
23799,aastocks,9115.HK,2018/12,2018,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4327,0.0,0.0,12
23800,aastocks,9115.HK,2019/12,2019,annual,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4212,0.0,0.0,12
23801,aastocks,9115.HK,2018/06,2018,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0777,0.0,0.0,06
23802,aastocks,9115.HK,2020/06,2020,quarterly,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0387,0.0,0.0,06
